Date,Rental price growth
2016 Jan,2.6
2016 Feb,2.6
2016 Mar,2.6
2016 Apr,2.6
2016 May,2.5
2016 Jun,2.4
2016 Jul,2.4
2016 Aug,2.3
2016 Sep,2.3
2016 Oct,2.3
2016 Nov,2.3
2016 Dec,2.3
2017 Jan,2.2
2017 Feb,2.1
2017 Mar,1.9
2017 Apr,1.8
2017 May,1.8
2017 Jun,1.8
2017 Jul,1.8
2017 Aug,1.6
2017 Sep,1.6
2017 Oct,1.5
2017 Nov,1.4
2017 Dec,1.2
2018 Jan,1.1
2018 Feb,1.1
2018 Mar,1.1
2018 Apr,1
2018 May,1
2018 Jun,1
2018 Jul,0.9
2018 Aug,0.9
2018 Sep,0.9
2018 Oct,0.9
2018 Nov,0.9
2018 Dec,1
2019 Jan,1
2019 Feb,1.1
2019 Mar,1.2
2019 Apr,1.2
2019 May,1.3
2019 Jun,1.3
2019 Jul,1.3
2019 Aug,1.3
2019 Sep,1.3
2019 Oct,1.3
2019 Nov,1.4
2019 Dec,1.4
2020 Jan,1.5
2020 Feb,1.4
2020 Mar,1.4
2020 Apr,1.5
2020 May,1.5
2020 Jun,1.5
2020 Jul,1.4
2020 Aug,1.5
2020 Sep,1.5
2020 Oct,1.4
2020 Nov,1.4
2020 Dec,1.4
2021 Jan,1.3
2021 Feb,1.3
2021 Mar,1.3
2021 Apr,1.2
2021 May,1.2
2021 Jun,1.2
2021 Jul,1.3
2021 Aug,1.3
2021 Sep,1.4
2021 Oct,1.6
2021 Nov,1.7
2021 Dec,1.9
2022 Jan,2.1
2022 Feb,2.2
2022 Mar,2.3
2022 Apr,2.6
2022 May,2.8
2022 Jun,3
2022 Jul,3.3
2022 Aug,3.5
2022 Sep,3.7
2022 Oct,3.8
2022 Nov,4
2022 Dec,4.2
2023 Jan ,4.4
2023 Feb,4.7
